All,Tümü
"Downloadable Products","İndirilebilir Ürünler"
"Remaining Downloads","Devam eden indirmeler"
"View Order","Siparişi Göster"
"Start Download","İndirmeye Başla"
"You have not purchased any downloadable products yet.","Henüz hiçbir indirilebilir ürün satın almadınız."
download,indir
"Downloadable Product Section","İndirilebilir Ürün Bölümü"
Downloads,İndirmeler
"Downloadable Product Options","İndirilebilir Ürün Seçenekleri"
"Order Item Status to Enable Downloads","İndirmeye aktif etmek için Sipariş satırı durumu"
"Default Maximum Number of Downloads","Varsayılan En Fazla İndirme Sayısı"
"Default Sample Title","Varsayılan Örnek Başlığı"
"Default Link Title","Varsayılan Link Başlığı"
"Open Links in New Window","Bağlantıları yeni pencerede aç"
"Use Content-Disposition","İçerik Kurallarını Kullan"
"Disable Guest Checkout if Cart Contains Downloadable Items","Eğer sepet indirilebilir ürün içeriyorsa, Misafir Alışverişi Kapat"
"Guest checkout will only work with shareable.","Misafir olarak alışveriş sadece paylaşılanlarda çalışır."
"Product type of the product must be 'downloadable'.","Ürünün ürün türü 'indirilebilir' olmalıdır."
"The product needs to be the downloadable type. Verify the product and try again.","Ürün indirilebilir tipte olmalıdır. Ürünü doğrulayıp tekrar deneyiniz."
"The link information is invalid. Verify the link and try again.","Bağlantı bilgisi geçersiz. Bağlantıyı doğrulayıp tekrar deneyiniz."
"The link type is invalid. Verify and try again.","Bağlantı tipi geçersiz. Doğrulayıp tekrar deneyiniz."
"The link title is empty. Enter the link title and try again.","Bağlantı başlığı boş. Bağlantı başlığını girip tekrar deneyiniz."
"No downloadable link with the provided ID was found. Verify the ID and try again.","Sağlanan kimliğe indirilebilir bir bağlantı bulunamadı. Kimliği doğrulayıp tekrar deneyiniz."
"The downloadable link isn't related to the product. Verify the link and try again.","İndirilebilir link, ürünle ilgili değildir. Bağlantıyı doğrulayıp tekrar deneyiniz."
"The link with ""%1"" ID can't be deleted.","""%1"" kimliğine sahip bağlantı silinemez."
"The sample information is invalid. Verify the information and try again.","Örnek bilgiler geçersiz. Bilgileri doğrulayıp tekrar deneyiniz."
"The sample type is invalid. Verify the sample type and try again.","Örnek tipi geçersiz. Örnek türünü doğrulayıp tekrar deneyiniz."
"The sample title is empty. Enter the title and try again.","Örnek başlık boş. Başlığı girip tekrar deneyiniz."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","Sağlanan kimliğe indirilebilir bir bağlantı bulunamadı. Kimliği doğrulayıp tekrar deneyiniz."
"The downloadable sample isn't related to the product. Verify the link and try again.","İndirilebilir link, ürünle ilgili değildir. Bağlantıyı doğrulayıp tekrar deneyiniz."
"The sample with ""%1"" ID can't be deleted.","""%1"" numaralı örnek silinemez."
"Default Label","Varsayılan Etiket"
"Default label","Varsayılan etiket"
"Values Required","Girilmesi zorunlu değerler"
"Decimal Number","Ondalıklı Sayı"
"Integer Number",Tamsayı
Letters,Harf
"Letters (a-z, A-Z) or Numbers (0-9)","Harfler (a-z, A-Z) veya Rakamlar (0-9)"
"Input type ""%value%"" not found in the input types list.","Giriş tipi ""%value%"" giriş tipleri listesinde bulunamadı."
"Entity object is undefined","Varlık nesnesi tanımlanmamış"
"""%1"" is not a valid image format","''%1'' geçerli bir resim biçimi değil"
"""%1"" cannot contain more than %2 lines.","''%1'' %2 'den fazla satır içeremez."
"Attribute group does not belong to provided attribute set","Özellik grubu, sağlanan özellik kümesine ait değil"
"Cannot save attributeGroup","NitelikGrubu kaydedilemiyor"
"Cannot delete attributeGroup with id %1","%1 kimlikli nitelikGrubu silinemiyor"
"AttributeSet with id ""%1"" does not exist.","''%1'' kimliğine sahip nitelikKümesi yok."
"Wrong attribute set id provided","Yanlış özellik kümesi sağlandı"
"Attribute group does not belong to attribute set","Nitelik grubu, nitelik kümesine ait değil"
"Attribute set not found: %1","Özellik kümesi bulunamadı: %1"
"Attribute ""%1"" not found in attribute set %2.","Nitelik kümesi %2 'de ''%1'' özniteliği bulunamadı."
"System attribute can not be deleted","Sistem özniteliği silinemiyor"
"Cannot save attribute","Öznitelik kaydedilemiyor"
"Attribute with attributeCode ""%1"" does not exist.","Nitelik Kodu ''%1'' olan öznitelik yok."
"Cannot delete attribute.","Öznitelik silinemiyor."
"Attribute with id ""%1"" does not exist.","''%1'' kimliğine sahip öznitelik yok."
"There was an error saving attribute set.","Öznitelik kümesi kaydedilirken bir hata oluştu."
"Default attribute set can not be deleted","Varsayılan öznitelik kümesi silinemez"
"There was an error deleting attribute set.","Öznitelik kümesi silinirken bir hata oluştu."
"Invalid entity_type specified: %1","Geçersiz giriş_türü belirtildi: %1"
"Entity is not initialized","Varlık başlatılamadı"
"Unknown parameter","Bilinmeyen parametre"
"The attribute code '%1' is reserved by system. Please try another attribute code","'%1' özniteliği kodu sistem tarafından ayrılmıştır. Lütfen başka bir öznitelik kodu deneyin"
"Invalid default decimal value","Hatalı varsayılan ondalıklı değer"
"Invalid default date","Hatalı varsayılan tarih"
"Invalid entity supplied","Hatalı varlık verildi"
"Invalid backend model specified: %1","Belirtilen geçersiz arka uç modeli: %1"
"Source model ""%1"" not found for attribute ""%2""","''%2'' özniteliği için kaynak modeli ''%1'' bulunamadı"
"The value of attribute ""%1"" must be unique","''%1'' özniteliğinin değeri benzersiz olmalıdır"
"Invalid date","Hatalı tarih"
"Empty attribute code","Boş öznitelik kodu"
"Attribute %1 doesn't work with options","%1 özniteliği seçenekler ile çalışmıyor"
"Cannot save attribute %1","%1 öznitelik kaydedilemiyor"
"Attribute %1 doesn't have any option","%1 özniteliği herhangi bir seçeneğe sahip değildir"
"Cannot load options for attribute %1","Özellik için seçenek yüklenemiyor %1"
"Attribute %1 does not contain option with Id %2","%1 Özniteliği, %2 kimliği olan seçeneği içermiyor"
"Entity attribute with id ""%1"" not found","Kimliği ''%1'' olan giriş özniteliği bulunamadı"
"Attribute set name is empty.","Öznitelik kümesi adı boş."
"An attribute set named ""%1"" already exists.","''%1'' adlı bir öznitelik grubu zaten var."
"No options found.","Hiçbir seçenek bulunamadı."
"Invalid entity supplied: %1","Sağlanan geçersiz giriş: %1"
"Attempt to add an invalid object","Hatalı nesne eklenmeye çalışıldı"
"Invalid attribute identifier for filter (%1)","Filtre için geçersiz öznitelik tanımlayıcı (%1)"
"Invalid attribute requested: %1","İstenen geçersiz öznitelik: %1"
"Joint field or attribute expression with this alias is already declared","Bu takma adı ile ortak alan veya özellik ifadesi zaten var"
"Invalid alias, already exists in joint attributes","Hatalı takma ad, aynı adda bir özellik zaten var"
"Invalid foreign key","Hatalı yabancı anahtar"
"Invalid entity type","Hatalı varlık tipi"
"Invalid attribute type","Hatalı özellik tipi"
"A joined field with this alias is already declared.","Bu takma adla birleştirilen bir alan zaten bildirilmiş."
"Invalid joint fields","Hatalı birleştirilmiş alanlar"
"A joint field with this alias (%1) is already declared.","Bu takma adla (%1) ortak bir alan zaten bildirilmiş."
"Data integrity: No header row found for attribute","Veri bütünlüğü: Bu özellik için başlık satırı bulunamadı"
"Invalid attribute name: %1","Geçersiz öznitelik adı: %1"
"Invalid character encountered in increment ID: %1","Artışlı kimlik numarası içinde geçersiz karakterle karşılaşıldı: %1"
"The current module pathname is undefined.","Geçerli modül yolu adı tanımlanmamış."
"The current module EAV entity is undefined.","Geçerli modül girişi EAV tanımsız."
"The form code is not defined.","Form kodu tanımlı değil."
"The entity instance is not defined.","Giriş örneği tanımlı değil."
"Invalid form type.","Hatalı form tipi."
"Invalid EAV attribute","Hatalı EAV özelliği"
"Attribute with the same code","Aynı koda sahip bir özellik zaten var"
"The storefront label is not defined.","Vitrin etiketi tanımlanmamış."
"Default option value is not defined","Varsayılan seçenek değeri belirlenmedi"
"Attribute group with same code already exist. Please rename ""%1"" group","Aynı koda sahip nitelik grubu zaten var. Lütfen ''%1'' grubunu yeniden adlandır"
"Form Element with the same attribute","Aynı özellikle Form Elemanı"
"Form Fieldset with the same code","Aynı kod ile Form Fieldset"
"Form Type with the same code","Aynı kod ile Form Tipi"
"The value of attribute ""%1"" is invalid.","''%1'' özniteliğinin değeri geçersiz."
"Wrong entity ID","Hatalı varlık No"
"Wrong attribute set ID","Hatalı özellik seti No"
"Wrong attribute group ID","Hatalı özellik grup No"
"An attribute code must not be less than %1 and more than %2 characters.","Bir öznitelik kodu %1 karakterden az ve %2 karakterden fazla olmamalı."
"Attribute with ID: ""%1"" does not exist","Kimliğe sahip nitelik: ''%1'' mevcut değil"
"AttributeSet does not exist.","ÖznitelikKümesi mevcut değil."
hello,merhaba
"Some internal exception message.","Bazı dahili istisna mesajları."
"The value of attribute not valid","Nitelik değeri geçerli değil"
"EAV types and attributes","EAV tipleri ve özellikleri"
"Entity types declaration cache","Giriş türleri bildirim önbelleği"
"Entity types declaration cache.","Varlık türleri bildirimi önbelleği."
"'Invalid backend model specified: ' .","'Belirtilen geçersiz arka uç modeli: ' ."
"The attribute group doesn't belong to the provided attribute set.","Özellik grubu, verilen özellik kümesine ait değil."
"The attributeGroup can't be saved.","AttributeGroup kaydedilemedi."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","""%1"" numaralı grup bulunamadı. Numarayı doğrulayıp yeniden deneyiniz."
"The attribute group with id ""%1"" can't be deleted.","""%1"" numaralı özellik grubu silinemedi."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","""%1"" kimliğine sahip AttributeSet mevcut değil. Niteliğini doğrulayıp tekrar deneyiniz."
"The attribute set ID is incorrect. Verify the ID and try again.","Özellik grup kimliği yanlış. Kimliği doğrulayıp tekrar deneyiniz."
"The attribute group doesn't belong to the attribute set.","Özellik grubu, verilen özellik kümesine ait değil."
"The ""%1"" attribute set wasn't found. Verify and try again.","""%1"" özellik grubu bulunamadı. Doğrulayıp tekrar deneyiniz."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","""%1"" özelliği, ""%2"" özellik grubunda bulunamadı. Özelliği girip tekrar deneyiniz."
"The system attribute can't be deleted.","Sistem özelliği silinemez."
"The attribute can't be saved.","Özellik kaydedilemedi."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","""%1"" özellik koduyla bir özellik mevcut değil. Özelliği doğrulayıp tekrar deneyiniz."
"The attribute can't be deleted.","Özellik silinemiyor."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","""%1"" kodlu/numaralı özellik bulunamadı. Özelliği doğrulayıp tekrar deneyiniz."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Bir hata nedeniyle özellik kaydedilemedi. Bilgilerinizi doğrulayıp tekrar deneyiniz. Hata devam ederse, lütfen daha sonra tekrar deneyin."
"The default attribute set can't be deleted.","Varsayılan özellik seti silinemez."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","Özellik grubu bir hata nedeniyle silinemedi. Tekrar deneyin. Hata devam ederse, lütfen bir süre sonra tekrar deneyin."
"This parameter is unknown. Verify and try again.","Bu parametre bilinmiyor. Doğrulayıp tekrar deneyiniz."
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","Özellik kodunun %1 karakter veya daha az olması gerekir. Kodu tekrar girip tekrar deneyiniz."
"The default decimal value is invalid. Verify the value and try again.","Varsayılan ondalık değer geçersiz. Değeri doğrulayıp tekrar deneyiniz."
"The default date is invalid. Verify the date and try again.","Varsayılan tarih geçersiz. Tarihi doğrulayıp tekrar deneyiniz."
"The entity supplied is invalid. Verify the entity and try again.","Sağlanan varlık geçersiz. Varlığı doğrulayıp tekrar deneyiniz."
"These changes affect all related products.","Bu değişiklikler ilgili tüm ürünleri etkiler."
"Text Editor","Metin Editörü"
"There is no such data mapper ""%1"" for interface %2","Arabirim% 2 için böyle bir veri eşleştiricisi ""% 1"" yok"
"Data mapper ""%1"" must implement interface %2","Veri eşleyicisi ""% 1"", arabirimi% 2'yi uygulamalıdır"
"Could not ping search engine: %1","Arama motoruna erişilemiyor: %1"
"Elasticsearch Server Hostname","Elasticsearch Sunucu Ana Bilgisayar Adı"
"Elasticsearch Server Port","Elasticsearch Sunucu Bağlantı Noktası"
